pays,code_pays,année,produit,code_produit,dispo_int,dispo_kcal,dispo_kg,pertes,autres_utilisations
Algérie,4,2013,Cephalopodes,2766,2000.0,0.0,0.05,,0.0
Algérie,4,2013,"Mollusques, Autres",2767,0.0,0.0,0.01,,0.0
Algérie,4,2013,Animaux Aquatiques Autre,2769,0.0,0.0,0.0,,0.0
Algérie,4,2013,Plantes Aquatiques,2775,0.0,0.0,0.0,,0.0
Algérie,4,2013,Huiles de Poissons,2781,0.0,0.0,0.0,,0.0
Algérie,4,2013,Huiles de Foie de Poisso,2782,0.0,0.0,0.0,,0.0
Algérie,4,2013,Riz (Eq Blanchi),2805,118000.0,30.0,2.97,0.0,
Algérie,4,2013,Lait - Excl Beurre,2848,5705000.0,227.0,141.53,156000.0,
Algérie,4,2013,Miscellanees,2899,,2.0,,,
Angola,7,2013,Blé,2511,898000.0,286.0,40.72,23000.0,
Angola,7,2013,Orge,2513,99000.0,0.0,0.0,,
Angola,7,2013,Maïs,2514,1531000.0,338.0,38.8,252000.0,
Angola,7,2013,Avoine,2516,0.0,0.0,0.01,,
Angola,7,2013,Millet,2517,39000.0,11.0,1.41,3000.0,
Angola,7,2013,Sorgho,2518,46000.0,0.0,0.0,,
Angola,7,2013,Pommes de Terre,2531,709000.0,40.0,20.39,57000.0,
Angola,7,2013,Manioc,2532,16412000.0,560.0,197.9,3282000.0,
Angola,7,2013,Patates douces,2533,1200000.0,129.0,49.17,144000.0,
Angola,7,2013,Racines nda,2534,0.0,0.0,0.0,,
Angola,7,2013,"Sucre, canne",2536,510000.0,,,26000.0,
Angola,7,2013,Sucre Eq Brut,2542,407000.0,137.0,15.21,,80000.0
Angola,7,2013,Edulcorants Autres,2543,0.0,0.0,0.01,,
Angola,7,2013,Haricots,2546,257000.0,81.0,8.96,26000.0,
Angola,7,2013,Noix,2551,2000.0,0.0,0.09,,
Angola,7,2013,Soja,2555,11000.0,5.0,0.52,,
Angola,7,2013,Arachides Decortiquees,2556,136000.0,33.0,2.17,3000.0,
Angola,7,2013,Graines de tournesol,2557,12000.0,,,0.0,
Angola,7,2013,Graines de coton,2559,3000.0,,,0.0,
Angola,7,2013,Coco (Incl Coprah),2560,3000.0,1.0,0.15,,
Angola,7,2013,Sésame,2561,3000.0,2.0,0.13,0.0,
